id	address	about	review_name	review_stars	review_count	property_amenities	room_features	room_types	good_to_know
1401	Ihlingshof 2, 88179 Oberreute, Bavaria Germany	Für Reiter und Nicht-Reiter ein familiengeführter, rustikaler Hof in ruhiger Lage. Die Besitzer sehr freundlich und hilfsbereit, die hohe Anzahl der Wiederkommer spricht dafür. ca. 20 Pferde, noch mehr Kühe, Hasen, Katzen und Hunde sind für Kinder eine nicht-enden-wollende Spaßquelle, aber auch viele Ausflugsmöglichkeiten in der Nähe.	Excellent	5.0	5 reviews				
1402	2275-17 Sekigawa, Myoko 949-2112 Niigata Prefecture	妙高の宿はどこも昔ながらの民宿やロッジが多く、ここも古くからある宿。建物自体は手入れもキチンとしていて、古臭さはあまり感じず過ごしやすいです。 大部屋もあり、学生グループにも適していますし、満室にならない限りそういった騒がしくなりそうなグループと、それ以外の人の部屋は十分離して用意してくれます。 お風呂は新しくオーナーが造ったそうで、４～５人なら余裕で入れる広さで、離れにあるのでノンビリ出来ます✨24時間ではないけど、朝も入れます。 食事は家庭料理+お刺身や鍋といった感じで家庭的な内容。特別突出した内容や味ではないですが万人受けするような感じです。 学生グループとかにはさらに安く利用できる食事内容もあるようです。 宿はレンタルもやっていて宿泊者は割安で借りれます。道具やウェアはキチンと手入れされてますし、ダサいウェアの多い池の平温泉スキー場直営のレンタルショップよりは格段に良いと思います。 宿の難点というか、妙高の難点で携帯の電波がかなり良くなくWi-Fiは必須。宿にも飛んでるようですが、無料解放してるかは分かりませんでした。	Very good	4.0	1 review				
1403	Via Naxos, 269, 98035 Giardini Naxos, Sicily Italy	Just 30 meters from the sea (about 50 steps) and the largest and most well-known seaside resort of Giardini Naxos, you will find the "Passi di Mare Rooms". Newly designed with passion and care for the relaxation of its guests, the Passi di Mare Rooms is composed of only double rooms with private bathroom, air conditioning, TV and Wi-Fi . A few steps away you will find everything you need on holiday: public and private parking (fee), stops bus to the nearby Taormina, many refreshed, bars and pubs (many of which are affiliated with the B &amp; B), private beaches, discos, pedestrian area during the summer, etc ... Etc ... AND ALL WITHOUT STRESS USING THE MACHINE !!!	Excellent	5.0	202 reviews	Paid private parking on-site Free High Speed Internet (WiFi) Coffee shop Beach Canoeing offsite Car hire Convenience store Gift shop Secured parking Wifi Breakfast available Snack bar Wine / champagne Tennis court offsite Taxi service Mosquito net Shops Sun umbrellas Dry cleaning Laundry service	Soundproof rooms Air conditioning Desk Housekeeping Refrigerator Flatscreen TV Extra long beds Bath / shower Bottled water Clothes rack Wake-up service / alarm clock Complimentary toiletries Hair dryer	Non-smoking rooms Family rooms	HOTEL STYLE Business Centrally Located Languages Spoken English, Italian
1404	Rua Dante de Patta 551, Ingleses, Florianopolis, State of Santa Catarina 88058-000 Brazil					Outdoor pool	Air conditioning Seating area Sofa Kitchenette Microwave Minibar Flatscreen TV Bath / shower Refrigerator Kitchenware		HOTEL CLASS 2.0 of 5 stars Languages Spoken Spanish Property amenities Outdoor pool Room features Air conditioning Seating area Sofa Kitchenette Microwave Minibar Flatscreen TV Bath / shower Refrigerator Kitchenware Show more
1405	Natha Singh Street, Masjid Road, Quetta Pakistan								
1406	Grosse Zeile 24, Herrnbaumgarten 2171 Austria	If you’re looking for a guest house in Herrnbaumgarten, look no further than Weingut zur Schlafmuetze. The guest house offers room service and newspaper, to make your visit even more pleasant. Guests arriving by vehicle have access to free parking. If you are interested in exploring Herrnbaumgarten, check out an art museum, such as Nonseum. The staff at Weingut zur Schlafmuetze looks forward to serving you during your upcoming visit.				Free parking Free High Speed Internet (WiFi) Bicycle rental Game room Hiking Pets Allowed ( Dog / Pet Friendly ) Newspaper Non-smoking hotel Darts Table tennis	Room service Iron		
1407	Room13039 Block A Hongfu Jiahui Plaza, No.1 North Main Street, Lianhu District, Xi'an 710003 China	这离钟楼很近，离回民街就5分钟，购物也方便。老板是两个外地人很热心，可能他们能体谅在外地的感受，要什么随时到。环境也很好，卫生很干净。价钱不贵，我经常出差住酒店，比酒店各方面都好。朋友刚介绍我有疑惑，住过之后的确很不错，满意。	Very good	4.0	4 reviews				
1408	310 10th Street, Overstrand 7200 South Africa	Small, privately owned hotel with an informal atmosphere offering great value accommodation. 21 en suite rooms, either double, triple or family. Some rooms have panoramic ocean views. English and continental breakfast. Close to the ocean and lagoon (100 meters) in a quiet and safe part of town. Wifi, internet, braai facilities, swimming pool, pool table, Dstv, conference room and facilities.	Very good	4.0	768 reviews	Free parking Free High Speed Internet (WiFi) Pool Free breakfast Game room Billiards Indoor play area for children Meeting rooms Street parking Wifi Outdoor pool Bar / lounge Breakfast buffet Table tennis BBQ facilities Baggage storage Non-smoking hotel Outdoor furniture Shared lounge / TV area Laundry service Ironing service	Fireplace Housekeeping Private balcony Safe Flatscreen TV	Ocean view Non-smoking rooms Family rooms	HOTEL CLASS 3.0 of 5 stars HOTEL STYLE Residential Neighborhood Quiet Languages Spoken English, Spanish, Afrikaans
1409	Viale Aldo Moro 103, 70043, Monopoli Italy	Immersed in a citrus grove, this B &amp; B " Donna Luisa " is set in an ancient farmhouse of 600 property ' of the family Ant in a central area of the resort town of Monopoli (Blue Flag for the 3rd year running) a few steps from the sea. Although located in a central area of ??the town of Monopoli B &amp; B Donna Luisa, there regal day of complete relaxation and tranquility, due to its strategic location. The B &amp; B Donna Luisa stretching in the park of olive trees, in an area rich in history and flavors of Puglia. The B &amp; B DONNA LOUISE 'S SOLE AND EXCLUSIVE OFFERS SERVICES TO MAKE YOUR STAY SINGLE AND UNFORGETTABLE. BREAKFAST combines a variety of classic continental breakfast, typical and genuine products of Puglia with Mediterranean ingredients fresh daily served in your room, in the living room or on the beautiful terrace surrounded by olive trees. * On request, breakfast for coeliacs. SERIZI OFFERED: wifi internet connection; Private services. Change of linen every three days. Satellite TV. Air Conditioning. Large relaxation area, sun loungers. Private parking. Rent free bicycles. Pets are allowed with prior noticeAccess for people with disabilities.	Excellent	5.0	47 reviews	Free parking Free High Speed Internet (WiFi) Pool Free breakfast Kids' outdoor play equipment Pets Allowed ( Dog / Pet Friendly ) Airport transportation Mosquito net Wifi Outdoor pool Bar / lounge Special diet menus Shuttle bus service Sun loungers / beach chairs Sun terrace Laundry service	Air conditioning Desk Housekeeping Safe Clothes rack Minibar Complimentary toiletries Hair dryer	Bridal suite Family rooms	HOTEL STYLE Business Mid-range Languages Spoken English, Italian
1410	2000 Boulevard of Champions, Clinton, OK 73601	Get your kicks on Route 66! Welcome to the Holiday Inn Express and Suites in Clinton, Oklahoma. This beautiful 100% nonsmoking hotel is conveniently located off I-40 and Historic Route 66. Oklahoma's first and largest indoor water park, Water-Zoo, is next door with family fun year-round. A variety of shopping and dining are all a short distance away. Experience luxurious accommodations and a plethora of amenities such as a complimentary hot breakfast buffet featuring a variety of signature hot items, indoor heated pool, business center, fitness area, meeting space that can comfortably accommodate up to 45 people, wired and wireless high-speed Internet access. Nestled in southwestern Oklahoma, we are centrally located between Oklahoma City, Amarillo, and Dallas. Guests will appreciate being close to the Water-Zoo Indoor Water Park, Route 66 Museum, Clinton Lake, Lucky Star Casino, Acme Brick Park, Foss Lake, Clinton Sherman Airport, Frisco Center, Clinton Airport, Oklahoma Space Port,	Very good	4.0	149 reviews	Free parking Free High Speed Internet (WiFi) Fitness Center with Gym / Workout Room Pool Breakfast available Water park Pets Allowed ( Dog / Pet Friendly ) Free airport transportation Parking Wifi Indoor pool Heated pool Breakfast buffet Business Center with Internet Access Meeting rooms Convenience store Non-smoking hotel 24-hour front desk Express check-in / check-out Laundry service Self-serve laundry	Air conditioning Housekeeping Safe Microwave Refrigerator Flatscreen TV	Non-smoking rooms Suites Family rooms	HOTEL CLASS 2.0 of 5 stars HOTEL STYLE Budget Quiet Languages Spoken English
1411	6 - 3 - 377 Punjagutta X Road Bashrath Plaza, Between Mochi &amp; Woodland Showroom, Hyderabad 500032 India	See why so many travelers make Hotel in Nova their small hotel of choice when visiting Hyderabad. Providing an ideal mix of value, comfort and convenience, it offers an array of amenities designed for travelers like you. Given the close proximity of popular landmarks, such as Tank Bund (1.7 mi) and Sanghi Temple (1.7 mi), guests of Hotel in Nova can easily experience some of Hyderabad's most well known attractions. Guest rooms offer amenities such as air conditioning, and guests can go online with free wifi offered by the small hotel. Hotel in Nova features a 24 hour front desk and baggage storage, to help make your stay more enjoyable. If you are driving to Hotel in Nova, there is free public parking available nearby. Travelers looking to enjoy some crab can head to Barbeque Nation, Dakshin, or Mainland China. There is no shortage of things to do in the area: explore popular science museums such as Birla Science Center. At Hotel in Nova, your comfort and satisfaction come first, and they look forward to welcoming you to Hyderabad.				Free parking Free High Speed Internet (WiFi) Restaurant Airport transportation Baggage storage 24-hour front desk Laundry service	Air conditioning Housekeeping Room service Iron	Family rooms	
1412	2012 Fisher St, Goldthwaite, TX 76844-2003	Quiet and serene! A great pit stop for long haul travelers. The new management team have picked up on the vision of the new owners and have cleaned up the park adding some great amenities . It’s a family oriented place. You’re welcomed there as if you’re a long lost friend. Economically feasible pricing. Small town vibe.	Excellent	4.5	2 reviews	Free parking Free High Speed Internet (WiFi) Outdoor dining area Game room Darts Books, DVDs, music for children Children's television networks Pets Allowed ( Dog / Pet Friendly ) Wifi Fishing Children Activities (Kid / Family Friendly) Business Center with Internet Access BBQ facilities Concierge Non-smoking hotel Outdoor fireplace Outdoor furniture Picnic area Shared bathroom Shared kitchen Shared lounge / TV area First aid kit 24-hour check-in Clothes dryer Washing machine	Dining area Private balcony Seating area Separate dining area Microwave Oven Flatscreen TV Walk-in shower Separate living room Sofa Refrigerator Stovetop Kitchenware Bath / shower Complimentary toiletries	Non-smoking rooms	
1413	Venus 905504 Romania								
1414	Walne 29A, Walne 16-304 Poland	Offering a barbecue and views of the garden, Gościniec Wigry is situated in Walne on the Blizno Lake and close to Wigry Lake, 18 km from Suwałki. Free private parking is available on site.	Average	2.5	2 reviews	Free parking Beach Fishing Children Activities (Kid / Family Friendly) BBQ facilities Non-smoking hotel Outdoor fireplace Outdoor furniture	Bath / shower	Family rooms	Languages Spoken Polish Property amenities Free parking Beach Fishing Children Activities (Kid / Family Friendly) BBQ facilities Non-smoking hotel Outdoor fireplace Outdoor furniture Room features Bath / shower Room types Family rooms
1415	Orroroo, South Australia 5431 Australia	Orroroo is a pleasant town for a night or two’s stopover and the Black Jack Get-A-Way cabins are really comfortable places to stay. The cabins look like they were built in the late 1960s from a prefabricated design and are really 3 bedroom, 1 bathroom houses. As such, they have a real 1960s vibe in their fittings and furnishings. Whilst they may appear dated, the cabins are perfectly functional, clean and comfortable. In fact, they are so well equipped you could easily move in and live there. Sufficient provisions are left for guests to make a substantial continental breakfast and other facilities such as a washing machine are appreciated. Whilst all contact with Susan was by email or text, she was responsive, timely and helpful in her responses. Certainly I would recommend these cabins for short or longer term accommodation in Orroroo.	Excellent	5.0	9 reviews	Parking Pets Allowed ( Dog / Pet Friendly ) BBQ facilities Non-smoking hotel	Air conditioning Desk Seating area Iron Coffee / tea maker Kitchenette Flatscreen TV Bath / shower Microwave Refrigerator Kitchenware Complimentary toiletries Hair dryer	Family rooms	HOTEL CLASS 2.5 of 5 stars HOTEL STYLE Budget Languages Spoken English Property amenities Parking Pets Allowed ( Dog / Pet Friendly ) BBQ facilities Non-smoking hotel Room features Air conditioning Desk Seating area Iron Coffee / tea maker Kitchenette Flatscreen TV Bath / shower Microwave Refrigerator Kitchenware Complimentary toiletries Hair dryer Show more Room types Family rooms
1416	100M West at the Intersection of Wangjiang West Road and Dongzhu Road, Hefei China								
1417	Penovskii R-N, Derevnya, Advoritsa 172781 Russia					Paid private parking on-site Bar / lounge Beach Bicycle rental Books, DVDs, music for children Indoor play area for children Pets Allowed ( Dog / Pet Friendly ) Shuttle bus service Secured parking Restaurant Breakfast in the room Bicycles available Game room Hiking Horseback riding Ski rentals Skiing Evening entertainment Karaoke Table tennis Board games / puzzles Hammam Ski In / Ski Out Chapel / shrine Non-smoking hotel Picnic area Shared lounge / TV area Sun terrace Express check-in / check-out	Private beach Housekeeping Room service		Languages Spoken English, Russian Property amenities Paid private parking on-site Bar / lounge Beach Bicycle rental Books, DVDs, music for children Indoor play area for children Pets Allowed ( Dog / Pet Friendly ) Shuttle bus service Secured parking Restaurant Breakfast in the room Bicycles available Game room Hiking Horseback riding Ski rentals Skiing Evening entertainment Karaoke Table tennis Board games / puzzles Hammam Ski In / Ski Out Chapel / shrine Non-smoking hotel Picnic area Shared lounge / TV area Sun terrace Express check-in / check-out Show more Room features Private beach Housekeeping Room service
1418	3025 Uchiko, Uchiko-cho, Kita-gun 791-3301 Ehime Prefecture	Featuring a garden, shared lounge, bar and free WiFi, Hostel &amp; Tatami Bar Uchikobare -内子晴れ- is set in Uchiko, a few steps from Machiya Resource Center and 200 metres from Omura Residence. The property is situated 2.8 km from Ikazaki Kite Museum, 8.	Very good	4.0	6 reviews	Free parking Free High Speed Internet (WiFi) Non-smoking hotel			HOTEL CLASS 2.0 of 5 stars HOTEL STYLE Budget Quaint Property amenities Free parking Free High Speed Internet (WiFi) Non-smoking hotel
1419	via delle Tabacchine, 73017, Sannicola Italy	We were guests of the b&amp;b from 9 to 19 August 2023, myself, my husband and our 1 and a half year old daughter... what can I say if not SPECTACULAR! We were treated very well right from the moment we booked (which took place with Sarah) and upon our arrival Tiziana was waiting for us, two worthy HOUSEHOLDS, they put us at ease and arranged any comfort we needed, being a B&amp;B it does not have a kitchenette and I already knew this, but Tiziana gave me a small induction hob with a saucepan to cook the little girl and she doesn't know how much I appreciated the gesture, the rooms were always clean and fragrant despite the fact that every time we returned from the sea we filled it with sand, breakfast was plentiful (it includes two choices each between the pastry shop/bar and a drink from the cafeteria), the typical Lecce desserts, dumplings and krapfen were excellent. Furthermore, Natascia (the girl who works at the bar) is uniquely kind and friendly, so much so that she has remained in our hearts and we have maintained contact. The b&amp;b is very close to the Padula Bianca beaches and the center of Gallipoli, it is also close to the center of the village and there are all amenities just a few kilometers away (post office, bakery, super and mini markets, clothing shops, plenty of pharmacies, restaurants and also pizzerias). If I could I would give 10 stars, thank you for everything.❤️❤️❤️❤️❤️❤️	Excellent	5.0	13 reviews	Free parking Free High Speed Internet (WiFi) Wifi Free breakfast Bar / lounge Airport transportation	Bath / shower		HOTEL STYLE Budget Romantic Property amenities Free parking Free High Speed Internet (WiFi) Wifi Free breakfast Bar / lounge Airport transportation Room features Bath / shower
1420	100 Kings Palace Railway Road Near New Bus Stand, Tenkasi 627811 India	Kings Palace is an excellent choice for travelers visiting Tenkasi, offering a family-friendly environment alongside many helpful amenities designed to enhance your stay. Sri Tenkasi Kasi Viswanathar Temple (2.1 mi), located nearby, makes Kings Palace a great place to stay for those interested in visiting this popular Tenkasi landmark. The rooms offer air conditioning, and getting online is possible, as paid wifi is available, allowing you to rest and refresh with ease. Kings Palace features a 24 hour front desk, room service, and newspaper. In addition, as a valued Kings Palace guest, you can enjoy an on-site restaurant that is available on-site. Guests arriving by vehicle have access to free parking. During your visit, be sure to check out one of the nearby restaurants that are within walking distance of Kings Palace, such as Asoka Vilas Non Veg Restaurant (0.0 mi). Enjoy your stay in Tenkasi!	Very good	3.5	42 reviews	Free parking Wifi Restaurant Children Activities (Kid / Family Friendly) Car hire Business Center with Internet Access Salon Baggage storage Paid wifi Newspaper Non-smoking hotel ATM on site 24-hour front desk Express check-in / check-out Ironing service	Air conditioning Housekeeping Room service	Family rooms	HOTEL CLASS 3.0 of 5 stars HOTEL STYLE Budget Family
1421	Via Andrea Doria 15, 18010 Santo Stefano al Mare Italy								
1422	At the Intersection of Yingbin Avenue and Taihao Road, Zhoukou China								
1423	Near Bus Stand, Kharar 140301 India								
1424	Viale Europa Unita 17, 33100 Udine Italy	Finding an ideal hotel in Udine does not have to be difficult. Welcome to Hotel Europa, a nice option for travelers like you. For those interested in checking out popular landmarks while visiting Udine, Hotel Europa is located a short distance from The Cathedral of Udine (0.4 mi) and Casa Cavazzini (0.5 mi). Rooms at Hotel Europa offer air conditioning providing exceptional comfort and convenience, and guests can go online with free wifi. A 24 hour front desk, room service, and a concierge are some of the conveniences offered at this hotel. A lounge will also help to make your stay even more special. If you are driving to Hotel Europa, parking is available. Travelers looking to enjoy some oyster can head to Trattoria Ai Frati, Osteria Pieri Mortadele, or Osteria Al Cappello. Otherwise, you may want to check out an Asian restaurant such as 8 1/2 Asian Restaurant, The Asian Wok, or Time's Wok Sushi. During your visit, be sure to check out popular attractions like Piazza San Giacomo (0.6 mi), Loggia del Lionello (0.6 mi), and Il Castello di Udine (0.6 mi), which are all within walking distance of the hotel. Hotel Europa looks forward to welcoming you on your visit to Udine.	Poor	2.0	79 reviews	Parking Free High Speed Internet (WiFi) Wifi Children Activities (Kid / Family Friendly) Baggage storage Concierge Non-smoking hotel 24-hour front desk		Non-smoking rooms Family rooms	HOTEL CLASS 3.0 of 5 stars HOTEL STYLE Classic Mid-range
1425	4 Lieu Dit Saupiquet, 33210 Castillon-De-Castets France	Mansion with swimming pool with 4 guest rooms. Located south Gironde, by the canal of the two seas, near the Entre-Deux-Mers, Graves and Sauternes Quiet and rest assured many nearby activities: bicycling, hiking, golf, castles to visit, 45 minutes from the city of Bordeaux, 30 minutes from the thermal baths of Casteljaloux. The rooms are 85 euros breakfast.	Excellent	5.0	12 reviews	Free parking Free High Speed Internet (WiFi) Pool Free breakfast Bicycles available Hiking Kids' outdoor play equipment BBQ facilities Parking garage Wifi Pool / beach towels Pool with view Outdoor pool Plunge pool Coffee shop Non-smoking hotel Outdoor furniture Picnic area Shared kitchen Shared lounge / TV area Sun loungers / beach chairs Sun terrace Sun umbrellas	Bottled water	Suites Family rooms	HOTEL STYLE Family Trendy
1426	3440 Surfers Paradise Boulevard, Surfers Paradise, Gold Coast, Queensland 4217 Australia	Drawing inspiration from the sea, Rhapsody’s designers have created a dynamic beachside apartment address. A sophisticated architectural statement reminiscent of grand vessels from a bygone era. A building of two distinct architectonic elements encased in a dramatic corten steel street level hull, destined to become the signature of the Surfers North precinct in Surfers Paradise, Australia.	Excellent	4.5	1,627 reviews	Free parking Free High Speed Internet (WiFi) Fitness Center with Gym / Workout Room Pool Coffee shop Beach Bicycle rental Children's television networks Parking garage Wifi Sauna Hot tub Pool / beach towels Outdoor pool Restaurant Complimentary Instant Coffee Complimentary tea Highchairs available Strollers Airport transportation Car hire Taxi service Business Center with Internet Access Conference facilities Meeting rooms Spa Steam room Rooftop terrace 24-hour security BBQ facilities Baggage storage Non-smoking hotel Outdoor furniture Picnic area Shared lounge / TV area Sun loungers / beach chairs Sun terrace Sun umbrellas ATM on site Umbrella Express check-in / check-out Clothes dryer Laundry service Self-serve laundry Washing machine	Air conditioning Additional bathroom Desk Dining area Coffee / tea maker Kitchenette Flatscreen TV Walk-in shower Housekeeping Private balcony Safe Seating area Separate dining area Separate living room Sofa Telephone Wardrobe / closet Clothes rack Iron Private bathrooms Tile / marble floor Wake-up service / alarm clock Dishwasher Microwave Oven Refrigerator Stovetop Electric kettle Kitchenware Complimentary toiletries Hair dryer	Ocean view City view Pool view Non-smoking rooms Suites Family rooms	HOTEL CLASS 4.0 of 5 stars HOTEL STYLE Quiet Modern Languages Spoken English
1427	Golden Green Golf Course Road Khandsa, Gurugram (Gurgaon) 122002 India					Secured parking Special diet menus Bicycle rental Game room Car hire BBQ facilities Baggage storage Express check-in / check-out Golf course Hiking Mini golf Billiards Darts Karaoke Concierge Newspaper Non-smoking hotel Shared kitchen Shared lounge / TV area Private check-in / check-out Laundry service	Air conditioning Housekeeping VIP room facilities Iron	Bridal suite	Languages Spoken English, French, Hindi Property amenities Secured parking Special diet menus Bicycle rental Game room Car hire BBQ facilities Baggage storage Express check-in / check-out Golf course Hiking Mini golf Billiards Darts Karaoke Concierge Newspaper Non-smoking hotel Shared kitchen Shared lounge / TV area Private check-in / check-out Laundry service Show more Room features Air conditioning Housekeeping VIP room facilities Iron Room types Bridal suite
1428	Via Vittorio Emanuele Snc, 98050, Sicily Italy								
1429	3300 Princes Highway, Lakes Entrance, Victoria 3909 Australia	We had a pleasant stay at this motel in Lakes Entrance. The location is convenient for enjoying both sunrise and sunset views. Our group of three families (6 adults + 3 kids) appreciated the set of rooms near the pool and BBQ area. The kids had space to play, and we were able to have a nice outdoor BBQ dinner, utilizing the fireplace for a campfire. The owner was nice and helpful, and overall, it was a very good experience. We would recommend it for a comfortable stay.	Very good	4.0	5 reviews				HOTEL STYLE Budget Business
1430	Rua Rogerio Magalhaes 13 Cidade Nova Ii, Manaus, State of Amazonas 69094-600 Brazil		Very good	3.5	13 reviews	Free parking Free High Speed Internet (WiFi) Free breakfast Children Activities (Kid / Family Friendly) Non-smoking hotel Shared lounge / TV area 24-hour front desk	Air conditioning Housekeeping Minibar Flatscreen TV Bath / shower		Languages Spoken Portuguese Property amenities Free parking Free High Speed Internet (WiFi) Free breakfast Children Activities (Kid / Family Friendly) Non-smoking hotel Shared lounge / TV area 24-hour front desk Room features Air conditioning Housekeeping Minibar Flatscreen TV Bath / shower
1431	1 A 324 Bypass K.k Colony Road Sector 1,Sector 2, Kudi Bhagtasani Housing Board Near Isro Office, Jodhpur 342001 India	OYO 10342 Hotel Krishna INN is an excellent choice for travelers visiting Jodhpur, offering a budget friendly environment alongside many helpful amenities designed to enhance your stay. Rooms at OYO 10342 Hotel Krishna INN offer air conditioning providing exceptional comfort and convenience, and guests can go online with free wifi. A 24 hour front desk and baggage storage are some of the conveniences offered at this inn. An on-site restaurant will also help to make your stay even more special. If you are driving to OYO 10342 Hotel Krishna INN, free parking is available. While you’re here, be sure to check out Daawat Bagh, one of the cafes that can be found in Jodhpur, which is a short distance from OYO 10342 Hotel Krishna INN. If you are interested in exploring Jodhpur, check out one of the gardens, such as Mandore Garden, Balsamand Lake and Garden, and Masuriya Hill Garden. Enjoy your stay in Jodhpur!				Free parking Free High Speed Internet (WiFi) Free breakfast Children Activities (Kid / Family Friendly) Pets Allowed ( Dog / Pet Friendly ) Business Center with Internet Access BBQ facilities Baggage storage Restaurant Non-smoking hotel 24-hour front desk Laundry service	Air conditioning Housekeeping Iron	Family rooms	HOTEL CLASS 2.0 of 5 stars
1432	2635  Kawakami, Yufuincho, Yufu 879-5102 Oita Prefecture	See why so many travelers make YufuinYumehiroba their onsen ryokan of choice when visiting Yufu-city. Providing an ideal mix of value, comfort and convenience, it offers a romantic setting with an array of amenities designed for travelers like you. Guest rooms offer a flat screen TV, a refrigerator, and a separate dining room, and Yumehiroba Bettei makes getting online easy as wifi is available. You can also take advantage of some of the amenities offered by the onsen ryokan, including Footbath . In addition, guests can enjoy an on-site restaurant during their visit. Nearby landmarks such as kinrin-lake(0.3mi),Hotarumi Bridge (0.1 mi) and Yufuin Basin (0.2 mi) make Yumehiroba a great place to stay when visiting Yufu. If you like barbeque restaurants, Yumehiroba is conveniently located near cafe `cafelalush`&amp; any other dining . Should time allow, Yufuin Area, Yufuin Onsen, and Yunotsubo Kaido are some popular attractions that are within walking distance. We’re sure you’ll enjoy your stay at YufuinYumehiroba as you experience all of the things Yufu has to offer.	Excellent	4.5	9 reviews	Free parking Free High Speed Internet (WiFi) Hot tub Restaurant Taxi service Foot bath Adults only Baggage storage Paid private parking nearby Parking Wifi Breakfast available Complimentary Instant Coffee Complimentary tea Complimentary welcome drink Vending machine Foot massage Hand massage Hot spring bath Massage Open-air bath Newspaper Non-smoking hotel Outdoor furniture Shared bathroom Shops Sun terrace First aid kit Umbrella	Blackout curtains Air purifier Air conditioning Additional bathroom Desk Coffee / tea maker Flatscreen TV Bath / shower Bathrobes Housekeeping Private balcony Room service Separate living room Bottled water Wake-up service / alarm clock Refrigerator Electric kettle Complimentary toiletries Hair dryer	Mountain view Non-smoking rooms	HOTEL CLASS 3.0 of 5 stars HOTEL STYLE Business Quaint Languages Spoken English, Japanese
1433	Complejo Termal, Chajari Argentina		Very good	4.0	32 reviews	Pool			HOTEL STYLE Mid-range Quaint Property amenities Pool
1434	Via della Vetrina 2, 00186 Rome Italy	Nel cuore della Roma più antica e ricca di tradizioni, incastonato in uno degli scorci più belli e affascinanti, Now Apartments spicca nel suo palazzo in stile rinascimentale, dove splendide architetture del passato si fondono con il mood semplice e moderno degli interni.	Excellent	4.5	42 reviews	Paid private parking nearby Free High Speed Internet (WiFi) Complimentary Instant Coffee Airport transportation Baggage storage Executive lounge access Express check-in / check-out Dry cleaning Wifi Complimentary tea Complimentary welcome drink Shuttle bus service Non-smoking hotel Shops Umbrella Laundry service Ironing service	Soundproof rooms Air conditioning Desk Housekeeping Coffee / tea maker Flatscreen TV Extra long beds Bidet Safe Seating area Sofa Wardrobe / closet Bottled water Clothes rack Iron Kitchenette Dishwasher Minibar Refrigerator Stovetop Kitchenware Sofa bed Walk-in shower Bath / shower Complimentary toiletries Hair dryer	Landmark view Non-smoking rooms Family rooms	HOTEL CLASS 3.0 of 5 stars HOTEL STYLE Trendy Centrally Located Languages Spoken English, French, Spanish, Italian
1435	Entrance of Jinyun Mountain, Beibei District, Chongqing 400702 China								
1436	Duoyishu Scenic Resort, Xinjie Town, Yuanyang County 662400 China	The Grain Inn is a comfortable 16 room hostel in the pristine Duoyishu Hani tribe village, the ideal place for sunrise watching in Yuan yang terrace. We are a full-service hostel with a restaurant. we also provide transportation directly from Kunming to Yuanyang (and also other places), and provide tour package around Yuannan province as well. The Grain Inn is located right besides the main road, easy accessible by car, no worry for travelers with more luggage. We had a beautiful veranda in a green forestry surrounding, where you may like to sitting for a pleasant coffee afternoon.The English speaking owner John Xie always willing to help you in your travel arrangements.We try to make this place cozy, make your stay laid back and most of all, enjoyable.	Average	3.0	2 reviews	Free parking Free High Speed Internet (WiFi) Restaurant Bicycle rental Pets Allowed ( Dog / Pet Friendly ) Car hire Baggage storage Currency exchange Wifi Shared lounge / TV area Sun terrace Express check-in / check-out Laundry service	Desk Housekeeping Room service Clothes rack Wake-up service / alarm clock Electric blanket Bath / shower Complimentary toiletries		HOTEL STYLE Luxury Family Languages Spoken English, Chinese
1437	38-37-58/1, Ramalayam St Haskar Gardens, Marripalem, Visakhapatnam 530018 India								
1438	Broadwell, Stow-on-the-Wold GL56 0TJ England	This was our 4th stay at Aston House over a period of 8 years coming from Australia. I have read previous reviews and could see that people's perception of the owner Mrs. Adams may come across a little strict. Mrs. Adams does keep her B&amp;B to a very high standard (hence a few respectful rules). We have been fortunate to get to know Mrs. Adams and her delightful Jack Russell's Emma and Rhea. It has been a blessing to stay over an 8 year period and find everything still in immaculate condition. The rooms are bright, roomy and tastefully decorated. Mrs. Adams has a compiled file in the rooms on information and attractions in the area. The touch of tea/coffee and biscuits in the rooms on the coffee table and choc mint chocolates on the dressing tables is always a nice touch. Furthermore the landing contains mugs, biscuits and a range of hot drink options before bedtime. As per other guest comments the dining room overlooking the garden and watching the birdlife is always a joy. We look forward to future visits and wish Mrs. Adams every success for the future.	Excellent	4.5	10 reviews	Free parking Free High Speed Internet (WiFi) Wifi Free breakfast			HOTEL CLASS 4.0 of 5 stars HOTEL STYLE Romantic Charming Property amenities Free parking Free High Speed Internet (WiFi) Wifi Free breakfast
1439	Bughazskaia 1, Sudak 98000	Уютное, красивое место для спокойного отдыха в пригородной части г. Судак. Отличный вид, лучший пляж Меганом! Хороший сервис и качество услуг проживания. Зеленая территория, бассейн, беседка, барбекю, автостоянка. Два централизованных места для приготовления пищи и хранения продуктов при необходимости.	Excellent	5.0	1 review	Free parking Free High Speed Internet (WiFi) Pets Allowed ( Dog / Pet Friendly ) BBQ facilities			Languages Spoken English, Russian, Ukrainian Property amenities Free parking Free High Speed Internet (WiFi) Pets Allowed ( Dog / Pet Friendly ) BBQ facilities
